words,frequency,Sentiment,Category
message,35,Positive,COMMUNICATION
browser,34,Positive,COMMUNICATION
like,34,Negative,COMMUNICATION
group,33,Positive,COMMUNICATION
send,32,Positive,COMMUNICATION
email,32,Positive,COMMUNICATION
thanks,32,Positive,COMMUNICATION
calls,32,Positive,COMMUNICATION
delete,32,Positive,COMMUNICATION
could,31,Positive,COMMUNICATION
option,31,Positive,COMMUNICATION
search,31,Positive,COMMUNICATION
hangouts,31,Positive,COMMUNICATION
well,30,Positive,COMMUNICATION
always,30,Positive,COMMUNICATION
can't,30,Negative,COMMUNICATION
problem,29,Positive,COMMUNICATION
free,29,Positive,COMMUNICATION
people,29,Positive,COMMUNICATION
android,29,Positive,COMMUNICATION
every,29,Negative,COMMUNICATION
sometimes,28,Positive,COMMUNICATION
button,28,Positive,COMMUNICATION
contact,28,Positive,COMMUNICATION
chrome,28,Positive,COMMUNICATION
need,27,Positive,COMMUNICATION
never,27,Positive,COMMUNICATION
fast,27,Positive,COMMUNICATION
page,27,Positive,COMMUNICATION
messaging,26,Positive,COMMUNICATION
right,26,Positive,COMMUNICATION
contacts,26,Negative,COMMUNICATION
fixed,25,Positive,COMMUNICATION
keep,25,Positive,COMMUNICATION
long,25,Positive,COMMUNICATION
thing,25,Positive,COMMUNICATION
find,25,Positive,COMMUNICATION
notifications,25,Positive,COMMUNICATION
new,25,Negative,COMMUNICATION
delete,25,Negative,COMMUNICATION
give,24,Positive,COMMUNICATION
stars,24,Positive,COMMUNICATION
feature,24,Positive,COMMUNICATION
read,24,Positive,COMMUNICATION
link,24,Positive,COMMUNICATION
tried,23,Positive,COMMUNICATION
easy,23,Positive,COMMUNICATION
working,23,Positive,COMMUNICATION
friend,22,Positive,COMMUNICATION
ok,22,Positive,COMMUNICATION
dialer,22,Positive,COMMUNICATION
phone,22,Negative,COMMUNICATION
number,21,Positive,COMMUNICATION
far,21,Positive,COMMUNICATION
slow,21,Positive,COMMUNICATION
perfect,21,Positive,COMMUNICATION
mail,21,Positive,COMMUNICATION
button,21,Negative,COMMUNICATION
like,21,Neutral,COMMUNICATION
seems,20,Positive,COMMUNICATION
mobile,20,Positive,COMMUNICATION
needs,20,Positive,COMMUNICATION
using,20,Negative,COMMUNICATION
open,20,Negative,COMMUNICATION
work,20,Negative,COMMUNICATION
available,19,Positive,COMMUNICATION
add,19,Positive,COMMUNICATION
voicemail,19,Positive,COMMUNICATION
properly,19,Positive,COMMUNICATION
cannot,19,Positive,COMMUNICATION
fine,19,Positive,COMMUNICATION
play,19,Positive,COMMUNICATION
gmail,19,Positive,COMMUNICATION
last,19,Positive,COMMUNICATION
message,19,Negative,COMMUNICATION
google,19,Negative,COMMUNICATION
sure,18,Positive,COMMUNICATION
screen,18,Positive,COMMUNICATION
often,18,Positive,COMMUNICATION
multiple,18,Positive,COMMUNICATION
thank,18,Positive,COMMUNICATION
history,18,Positive,COMMUNICATION
data,18,Positive,COMMUNICATION
slow,18,Negative,COMMUNICATION
something,18,Negative,COMMUNICATION
worst,18,Negative,COMMUNICATION
notifications,18,Negative,COMMUNICATION
every,17,Positive,COMMUNICATION
features,17,Positive,COMMUNICATION
sms,17,Positive,COMMUNICATION
first,17,Positive,COMMUNICATION
text,17,Positive,COMMUNICATION
old,17,Positive,COMMUNICATION
though,17,Positive,COMMUNICATION
got,17,Positive,COMMUNICATION
think,17,Positive,COMMUNICATION
everything,17,Positive,COMMUNICATION
problems,17,Positive,COMMUNICATION
help,17,Positive,COMMUNICATION
devices,17,Positive,COMMUNICATION
multiple,17,Negative,COMMUNICATION
annoying,17,Negative,COMMUNICATION
version,17,Negative,COMMUNICATION
play,17,Negative,COMMUNICATION
firefox,17,Negative,COMMUNICATION
tap,16,Positive,COMMUNICATION
voice,16,Positive,COMMUNICATION
top,16,Positive,COMMUNICATION
useful,16,Positive,COMMUNICATION
without,16,Positive,COMMUNICATION
engine,16,Positive,COMMUNICATION
used,16,Negative,COMMUNICATION
group,16,Negative,COMMUNICATION
go,16,Negative,COMMUNICATION
times,16,Negative,COMMUNICATION
phone,16,Neutral,COMMUNICATION
hope,15,Positive,COMMUNICATION
trying,15,Positive,COMMUNICATION
little,15,Positive,COMMUNICATION
ads,15,Positive,COMMUNICATION
change,15,Positive,COMMUNICATION
one,15,Positive,COMMUNICATION
ever,15,Positive,COMMUNICATION
reason,15,Positive,COMMUNICATION
issues,15,Positive,COMMUNICATION
sync,15,Positive,COMMUNICATION
bar,15,Positive,COMMUNICATION
say,15,Positive,COMMUNICATION
n,15,Positive,COMMUNICATION
select,15,Positive,COMMUNICATION
support,15,Positive,COMMUNICATION
lot,15,Positive,COMMUNICATION
full,15,Positive,COMMUNICATION
review,15,Positive,COMMUNICATION
two,15,Positive,COMMUNICATION
options,15,Positive,COMMUNICATION
might,15,Positive,COMMUNICATION
yahoo,15,Positive,COMMUNICATION
ads,15,Negative,COMMUNICATION
always,15,Negative,COMMUNICATION
back,15,Negative,COMMUNICATION
single,15,Negative,COMMUNICATION
give,15,Negative,COMMUNICATION
email,15,Negative,COMMUNICATION
chat,14,Positive,COMMUNICATION
someone,14,Positive,COMMUNICATION
take,14,Positive,COMMUNICATION
menu,14,Positive,COMMUNICATION
ago,14,Positive,COMMUNICATION
samsung,14,Positive,COMMUNICATION
picture,14,Positive,COMMUNICATION
people,14,Negative,COMMUNICATION
text,14,Negative,COMMUNICATION
call,14,Negative,COMMUNICATION
bad,14,Negative,COMMUNICATION
want,14,Negative,COMMUNICATION
update,14,Neutral,COMMUNICATION
work,14,Neutral,COMMUNICATION
contacts,14,Neutral,COMMUNICATION
tried,13,Negative,COMMUNICATION
keep,13,Negative,COMMUNICATION
crashes,13,Negative,COMMUNICATION
messaging,13,Negative,COMMUNICATION
know,13,Negative,COMMUNICATION
without,13,Negative,COMMUNICATION
can't,13,Neutral,COMMUNICATION
account,13,Neutral,COMMUNICATION
error,12,Negative,COMMUNICATION
voicemail,12,Negative,COMMUNICATION
fix,12,Negative,COMMUNICATION
since,12,Negative,COMMUNICATION
send,12,Negative,COMMUNICATION
android,12,Negative,COMMUNICATION
notification,12,Negative,COMMUNICATION
gmail,12,Negative,COMMUNICATION
seconds,12,Negative,COMMUNICATION
error,12,Neutral,COMMUNICATION
need,11,Negative,COMMUNICATION
also,11,Negative,COMMUNICATION
broken,11,Negative,COMMUNICATION
terrible,11,Negative,COMMUNICATION
last,11,Negative,COMMUNICATION
thing,11,Negative,COMMUNICATION
contact,11,Negative,COMMUNICATION
press,11,Negative,COMMUNICATION
open,11,Neutral,COMMUNICATION
screen,10,Negative,COMMUNICATION
useless,10,Negative,COMMUNICATION
option,10,Negative,COMMUNICATION
mobile,10,Negative,COMMUNICATION
calls,10,Neutral,COMMUNICATION
cant,10,Neutral,COMMUNICATION
hate,9,Negative,COMMUNICATION
well,9,Negative,COMMUNICATION
long,9,Negative,COMMUNICATION
frustrating,9,Negative,COMMUNICATION
wrong,9,Negative,COMMUNICATION
never,9,Negative,COMMUNICATION
works,9,Negative,COMMUNICATION
sent,9,Negative,COMMUNICATION
texts,9,Negative,COMMUNICATION
else,9,Negative,COMMUNICATION
stopped,9,Negative,COMMUNICATION
deleted,9,Negative,COMMUNICATION
one,9,Negative,COMMUNICATION
ever,9,Negative,COMMUNICATION
made,9,Negative,COMMUNICATION
others,4,Neutral,MEDICAL
years,9,Negative,COMMUNICATION
stars,9,Negative,COMMUNICATION
desktop,9,Negative,COMMUNICATION
link,9,Negative,COMMUNICATION
simply,9,Negative,COMMUNICATION
sync,9,Negative,COMMUNICATION
add,9,Negative,COMMUNICATION
keeps,9,Neutral,COMMUNICATION
working,9,Neutral,COMMUNICATION
messages,9,Neutral,COMMUNICATION
google,9,Neutral,COMMUNICATION
delete,9,Neutral,COMMUNICATION
go,9,Neutral,COMMUNICATION
button,9,Neutral,COMMUNICATION
pathetic,9,Negative,COMMUNICATION
another,8,Negative,COMMUNICATION
account,8,Negative,COMMUNICATION
show,8,Negative,COMMUNICATION
working,8,Negative,COMMUNICATION
reason,8,Negative,COMMUNICATION
properly,8,Negative,COMMUNICATION
facebook,8,Negative,COMMUNICATION
going,8,Negative,COMMUNICATION
stops,8,Negative,COMMUNICATION
speaker,8,Negative,COMMUNICATION
hangouts,8,Negative,COMMUNICATION
problem,8,Neutral,COMMUNICATION
last,8,Neutral,COMMUNICATION
since,8,Neutral,COMMUNICATION
contact,8,Neutral,COMMUNICATION
email,8,Neutral,COMMUNICATION
entire,7,Negative,COMMUNICATION
least,7,Negative,COMMUNICATION
poor,7,Negative,COMMUNICATION
voice,7,Negative,COMMUNICATION
emails,7,Negative,COMMUNICATION
try,7,Negative,COMMUNICATION
updates,7,Negative,COMMUNICATION
making,7,Negative,COMMUNICATION
worse,7,Negative,COMMUNICATION
cache,7,Negative,COMMUNICATION
many,7,Negative,COMMUNICATION
keeps,7,Negative,COMMUNICATION
pay,7,Negative,COMMUNICATION
choose,7,Negative,COMMUNICATION
apps,7,Negative,COMMUNICATION
what's,7,Negative,COMMUNICATION
difficult,7,Negative,COMMUNICATION
select,7,Negative,COMMUNICATION
playing,7,Negative,COMMUNICATION
feature,7,Negative,COMMUNICATION
deleting,7,Negative,COMMUNICATION
data,7,Negative,COMMUNICATION
failed,7,Negative,COMMUNICATION
always,7,Neutral,COMMUNICATION
voicemail,7,Neutral,COMMUNICATION
keep,7,Neutral,COMMUNICATION
ads,7,Neutral,COMMUNICATION
even,7,Neutral,COMMUNICATION
call,7,Neutral,COMMUNICATION
read,7,Neutral,COMMUNICATION
video,7,Neutral,COMMUNICATION
calls,6,Negative,COMMUNICATION
sometimes,6,Negative,COMMUNICATION
understand,6,Negative,COMMUNICATION
different,6,Negative,COMMUNICATION
good,6,Negative,COMMUNICATION
broke,6,Negative,COMMUNICATION
started,6,Negative,COMMUNICATION
previous,6,Negative,COMMUNICATION
pretty,6,Negative,COMMUNICATION
old,6,Negative,COMMUNICATION
disappointed,6,Negative,COMMUNICATION
stupid,6,Negative,COMMUNICATION
already,6,Negative,COMMUNICATION
constantly,6,Negative,COMMUNICATION
forget,6,Negative,COMMUNICATION
uninstall,6,Negative,COMMUNICATION
clear,6,Negative,COMMUNICATION
fine,6,Negative,COMMUNICATION
cleared,6,Negative,COMMUNICATION
gems,6,Negative,COMMUNICATION
waste,6,Negative,COMMUNICATION
features,6,Negative,COMMUNICATION
gender,6,Negative,COMMUNICATION
everything,6,Negative,COMMUNICATION
lately,6,Negative,COMMUNICATION
nice,6,Negative,COMMUNICATION
much,6,Negative,COMMUNICATION
simple,6,Negative,COMMUNICATION
love,6,Negative,COMMUNICATION
two,6,Negative,COMMUNICATION
emails,6,Neutral,COMMUNICATION
want,6,Neutral,COMMUNICATION
notifications,6,Neutral,COMMUNICATION
time,6,Neutral,COMMUNICATION
need,6,Neutral,COMMUNICATION
well,6,Neutral,COMMUNICATION
could,6,Neutral,COMMUNICATION
several,6,Neutral,COMMUNICATION
message,6,Neutral,COMMUNICATION
different,5,Neutral,COMMUNICATION
showing,5,Neutral,COMMUNICATION
fix,5,Neutral,COMMUNICATION
uninstalled,5,Neutral,COMMUNICATION
calling,5,Neutral,COMMUNICATION
back,5,Neutral,COMMUNICATION
sim,5,Neutral,COMMUNICATION
also,5,Neutral,COMMUNICATION
crash,5,Neutral,COMMUNICATION
times,5,Neutral,COMMUNICATION
see,5,Neutral,COMMUNICATION
opening,5,Neutral,COMMUNICATION
person,4,Neutral,COMMUNICATION
number,4,Neutral,COMMUNICATION
tried,4,Neutral,COMMUNICATION
occurred,4,Neutral,COMMUNICATION
galaxy,4,Neutral,COMMUNICATION
stopped,4,Neutral,COMMUNICATION
broke,4,Neutral,COMMUNICATION
show,4,Neutral,COMMUNICATION
text,4,Neutral,COMMUNICATION
android,4,Neutral,COMMUNICATION
version,4,Neutral,COMMUNICATION
option,4,Neutral,COMMUNICATION
bbm,4,Neutral,COMMUNICATION
used,4,Neutral,COMMUNICATION
others,12,Positive,PERSONALIZATION
using,4,Neutral,COMMUNICATION
seems,4,Neutral,COMMUNICATION
next,4,Neutral,COMMUNICATION
switch,4,Neutral,COMMUNICATION
installed,4,Neutral,COMMUNICATION
sms,4,Neutral,COMMUNICATION
hit,4,Neutral,COMMUNICATION
hear,4,Neutral,COMMUNICATION
speaker,4,Neutral,COMMUNICATION
seconds,4,Neutral,COMMUNICATION
start,4,Neutral,COMMUNICATION
multiple,4,Neutral,COMMUNICATION
tabs,4,Neutral,COMMUNICATION
youtube,4,Neutral,COMMUNICATION
iti,4,Neutral,COMMUNICATION
another,3,Neutral,COMMUNICATION
cannot,3,Neutral,COMMUNICATION
create,3,Neutral,COMMUNICATION
saying,3,Neutral,COMMUNICATION
nothing,3,Neutral,COMMUNICATION
crashing,3,Neutral,COMMUNICATION
pay,3,Neutral,COMMUNICATION
sign,3,Neutral,COMMUNICATION
sending,3,Neutral,COMMUNICATION
anymore,3,Neutral,COMMUNICATION
couple,3,Neutral,COMMUNICATION
ever,3,Neutral,COMMUNICATION
else,3,Neutral,COMMUNICATION
menu,3,Neutral,COMMUNICATION
people,3,Neutral,COMMUNICATION
issue,3,Neutral,COMMUNICATION
nonsense,3,Neutral,COMMUNICATION
group,3,Neutral,COMMUNICATION
save,3,Neutral,COMMUNICATION
thank,3,Neutral,COMMUNICATION
seem,3,Neutral,COMMUNICATION
others,4,Neutral,DATING
put,3,Neutral,COMMUNICATION
trying,3,Neutral,COMMUNICATION
card,3,Neutral,COMMUNICATION
gmail,3,Neutral,COMMUNICATION
mail,3,Neutral,COMMUNICATION
samsung,3,Neutral,COMMUNICATION
support,3,Neutral,COMMUNICATION
playing,3,Neutral,COMMUNICATION
takes,3,Neutral,COMMUNICATION
presses,3,Neutral,COMMUNICATION
select,3,Neutral,COMMUNICATION
clicking,3,Neutral,COMMUNICATION
worked,3,Neutral,COMMUNICATION
icon,3,Neutral,COMMUNICATION
try,3,Neutral,COMMUNICATION
receive,3,Neutral,COMMUNICATION
updated,3,Neutral,COMMUNICATION
gray,3,Neutral,COMMUNICATION
line,2,Neutral,COMMUNICATION
eight,2,Neutral,COMMUNICATION
"occurred""",2,Neutral,COMMUNICATION
note,2,Neutral,COMMUNICATION
pop,2,Neutral,COMMUNICATION
creating,2,Neutral,COMMUNICATION
added,2,Neutral,COMMUNICATION
voicemails,2,Neutral,COMMUNICATION
find,2,Neutral,COMMUNICATION
longer,2,Neutral,COMMUNICATION
refresh,2,Neutral,COMMUNICATION
pixel,2,Neutral,COMMUNICATION
anyone,2,Neutral,COMMUNICATION
issues,2,Neutral,COMMUNICATION
picture,2,Neutral,COMMUNICATION
send,2,Neutral,COMMUNICATION
notification,2,Neutral,COMMUNICATION
others,4,Neutral,TRAVEL_AND_LOCAL
instead,2,Neutral,COMMUNICATION
lot,2,Neutral,COMMUNICATION
azar,2,Neutral,COMMUNICATION
reason,2,Neutral,COMMUNICATION
solve,2,Neutral,COMMUNICATION
vip,2,Neutral,COMMUNICATION
package,2,Neutral,COMMUNICATION
blocked,2,Neutral,COMMUNICATION
battery,2,Neutral,COMMUNICATION
come,2,Neutral,COMMUNICATION
guys,2,Neutral,COMMUNICATION
money,2,Neutral,COMMUNICATION
gems,2,Neutral,COMMUNICATION
platform,2,Neutral,COMMUNICATION
day,2,Neutral,COMMUNICATION
what's,2,Neutral,COMMUNICATION
chat,2,Neutral,COMMUNICATION
already,2,Neutral,COMMUNICATION
improvements,2,Neutral,COMMUNICATION
security,2,Neutral,COMMUNICATION
features,2,Neutral,COMMUNICATION
automatically,2,Neutral,COMMUNICATION
links,2,Neutral,COMMUNICATION
company,2,Neutral,COMMUNICATION
business,2,Neutral,COMMUNICATION
good,213,Positive,SPORTS
great,201,Positive,SPORTS
time,129,Positive,SPORTS
best,128,Positive,SPORTS
sports,123,Positive,SPORTS
game,112,Positive,SPORTS
like,107,Positive,SPORTS
love,103,Positive,SPORTS
see,89,Positive,SPORTS
update,87,Positive,SPORTS
would,84,Positive,SPORTS
play,70,Positive,SPORTS
easy,69,Positive,SPORTS
live,67,Positive,SPORTS
much,66,Positive,SPORTS
better,63,Positive,SPORTS
news,62,Positive,SPORTS
every,62,Positive,SPORTS
many,58,Positive,SPORTS
scores,56,Positive,SPORTS
also,55,Positive,SPORTS
used,54,Positive,SPORTS
even,52,Positive,SPORTS
could,50,Positive,SPORTS
score,50,Positive,SPORTS
work,49,Positive,SPORTS
want,48,Positive,SPORTS
back,48,Positive,SPORTS
football,47,Positive,SPORTS
ads,46,Positive,SPORTS
watch,46,Positive,SPORTS
golf,46,Positive,SPORTS
need,45,Positive,SPORTS
always,45,Positive,SPORTS
fix,44,Positive,SPORTS
using,44,Positive,SPORTS
thanks,43,Positive,SPORTS
new,43,Positive,SPORTS
nice,43,Positive,SPORTS
go,42,Positive,SPORTS
version,42,Positive,SPORTS
phone,40,Positive,SPORTS
games,39,Positive,SPORTS
teams,38,Positive,SPORTS
world,36,Positive,SPORTS
team,36,Positive,SPORTS
can't,36,Positive,SPORTS
players,36,Positive,SPORTS
gps,36,Positive,SPORTS
everything,35,Positive,SPORTS
free,35,Positive,SPORTS
screen,35,Positive,SPORTS
thing,34,Positive,SPORTS
course,34,Positive,SPORTS
match,33,Positive,SPORTS
use,33,Positive,SPORTS
ok,32,Positive,SPORTS
money,32,Positive,SPORTS
fantasy,32,Positive,SPORTS
keep,31,Positive,SPORTS
favorite,31,Positive,SPORTS
well,30,Positive,SPORTS
latest,30,Positive,SPORTS
stars,29,Positive,SPORTS
awesome,29,Positive,SPORTS
far,29,Positive,SPORTS
load,29,Positive,SPORTS
works,29,Positive,SPORTS
courses,29,Positive,SPORTS
widget,28,Positive,SPORTS
open,28,Positive,SPORTS
last,28,Positive,SPORTS
information,27,Positive,SPORTS
updates,27,Positive,SPORTS
find,27,Positive,SPORTS
able,27,Positive,SPORTS
give,27,Positive,SPORTS
connection,27,Positive,SPORTS
shot,27,Positive,SPORTS
feature,26,Positive,SPORTS
page,26,Positive,SPORTS
years,26,Positive,SPORTS
problem,25,Positive,SPORTS
sport,25,Positive,SPORTS
accurate,25,Positive,SPORTS
year,25,Positive,SPORTS
keeps,24,Positive,SPORTS
available,24,Positive,SPORTS
long,24,Positive,SPORTS
job,24,Positive,SPORTS
cbs,24,Positive,SPORTS
full,23,Positive,SPORTS
without,23,Positive,SPORTS
add,23,Positive,SPORTS
gives,23,Positive,SPORTS
first,23,Positive,SPORTS
right,23,Positive,SPORTS
excellent,22,Positive,SPORTS
lot,22,Positive,SPORTS
video,22,Positive,SPORTS
cup,22,Positive,SPORTS
player,22,Positive,SPORTS
going,22,Positive,SPORTS
that's,21,Positive,SPORTS
info,21,Positive,SPORTS
done,21,Positive,SPORTS
stats,21,Positive,SPORTS
different,21,Positive,SPORTS
cricket,20,Positive,SPORTS
videos,20,Positive,SPORTS
ever,20,Positive,SPORTS
log,19,Positive,SPORTS
wish,19,Positive,SPORTS
try,19,Positive,SPORTS
playing,19,Positive,SPORTS
notification,19,Positive,SPORTS
around,19,Positive,SPORTS
crashes,19,Positive,SPORTS
ability,19,Positive,SPORTS
league,19,Positive,SPORTS
club,19,Positive,SPORTS
simple,18,Positive,SPORTS
loved,18,Positive,SPORTS
day,18,Positive,SPORTS
etc,18,Positive,SPORTS
away,18,Positive,SPORTS
sometimes,18,Positive,SPORTS
show,18,Positive,SPORTS
old,18,Positive,SPORTS
adds,18,Positive,SPORTS
days,18,Positive,SPORTS
coverage,17,Positive,SPORTS
never,17,Positive,SPORTS
something,17,Positive,SPORTS
think,17,Positive,SPORTS
features,17,Positive,SPORTS
thank,17,Positive,SPORTS
fun,17,Positive,SPORTS
take,17,Positive,SPORTS
gear,17,Positive,SPORTS
times,17,Positive,SPORTS
notifications,17,Positive,SPORTS
scoring,17,Positive,SPORTS
guys,16,Positive,SPORTS
good,445,Positive,FAMILY
updated,16,Positive,SPORTS
loading,16,Positive,SPORTS
working,16,Positive,SPORTS
check,16,Positive,SPORTS
review,16,Positive,SPORTS
one,16,Positive,SPORTS
got,16,Positive,SPORTS
know,16,Positive,SPORTS
game,154,Negative,SPORTS
time,77,Negative,SPORTS
every,43,Negative,SPORTS
like,41,Negative,SPORTS
even,36,Negative,SPORTS
fix,35,Negative,SPORTS
games,35,Negative,SPORTS
ads,35,Negative,SPORTS
load,32,Negative,SPORTS
play,31,Negative,SPORTS
screen,29,Negative,SPORTS
go,28,Negative,SPORTS
sports,26,Negative,SPORTS
can't,26,Negative,SPORTS
would,26,Negative,SPORTS
watch,26,Negative,SPORTS
much,25,Negative,SPORTS
bad,25,Negative,SPORTS
annoying,25,Negative,SPORTS
want,24,Negative,SPORTS
terrible,24,Negative,SPORTS
new,23,Negative,SPORTS
work,22,Negative,SPORTS
never,22,Negative,SPORTS
slow,21,Negative,SPORTS
back,21,Negative,SPORTS
see,20,Negative,SPORTS
money,20,Negative,SPORTS
match,20,Negative,SPORTS
players,20,Negative,SPORTS
wrong,19,Negative,SPORTS
connection,19,Negative,SPORTS
player,19,Negative,SPORTS
version,19,Negative,SPORTS
going,18,Negative,SPORTS
good,18,Negative,SPORTS
always,18,Negative,SPORTS
video,18,Negative,SPORTS
disappointed,18,Negative,SPORTS
worst,18,Negative,SPORTS
year,18,Negative,SPORTS
using,17,Negative,SPORTS
notifications,17,Negative,SPORTS
takes,17,Negative,SPORTS
stars,17,Negative,SPORTS
crashes,17,Negative,SPORTS
constantly,17,Negative,SPORTS
last,16,Negative,SPORTS
update,16,Negative,SPORTS
waste,16,Negative,SPORTS
try,16,Negative,SPORTS
loading,15,Negative,SPORTS
lost,15,Negative,SPORTS
need,14,Negative,SPORTS
got,14,Negative,SPORTS
score,14,Negative,SPORTS
scores,13,Negative,SPORTS
long,13,Negative,SPORTS
give,13,Negative,SPORTS
stupid,13,Negative,SPORTS
ball,13,Negative,SPORTS
also,13,Negative,SPORTS
many,13,Negative,SPORTS
phone,13,Negative,SPORTS
know,13,Negative,SPORTS
trying,13,Negative,SPORTS
first,13,Negative,SPORTS
difficult,13,Negative,SPORTS
used,13,Negative,SPORTS
fails,13,Negative,SPORTS
password,13,Negative,SPORTS
hole,13,Negative,SPORTS
keeps,12,Negative,SPORTS
news,12,Negative,SPORTS
open,12,Negative,SPORTS
well,12,Negative,SPORTS
could,12,Negative,SPORTS
thing,12,Negative,SPORTS
playing,12,Negative,SPORTS
problem,12,Negative,SPORTS
cant,12,Negative,SPORTS
times,12,Negative,SPORTS
take,12,Negative,SPORTS
log,12,Negative,SPORTS
minutes,12,Negative,SPORTS
live,12,Negative,SPORTS
round,11,Negative,SPORTS
right,11,Negative,SPORTS
away,11,Negative,SPORTS
point,11,Negative,SPORTS
tell,11,Negative,SPORTS
account,11,Negative,SPORTS
happens,11,Negative,SPORTS
world,11,Negative,SPORTS
fan,11,Negative,SPORTS
asked,11,Negative,SPORTS
gps,11,Negative,SPORTS
working,10,Negative,SPORTS
least,10,Negative,SPORTS
little,10,Negative,SPORTS
useless,10,Negative,SPORTS
league,10,Negative,SPORTS
golf,10,Negative,SPORTS
glitches,9,Negative,SPORTS
matches,9,Negative,SPORTS
shows,9,Negative,SPORTS
enough,9,Negative,SPORTS
says,9,Negative,SPORTS
anything,9,Negative,SPORTS
super,9,Negative,SPORTS
find,9,Negative,SPORTS
updated,9,Negative,SPORTS
start,9,Negative,SPORTS
cbs,9,Negative,SPORTS
fantasy,9,Negative,SPORTS
years,9,Negative,SPORTS
support,9,Negative,SPORTS
course,9,Negative,SPORTS
bit,8,Negative,SPORTS
error,8,Negative,SPORTS
weeks,8,Negative,SPORTS
saying,8,Negative,SPORTS
home,8,Negative,SPORTS
teams,8,Negative,SPORTS
show,8,Negative,SPORTS
mobile,8,Negative,SPORTS
love,8,Negative,SPORTS
shot,8,Negative,SPORTS
solid,8,Negative,SPORTS
lose,8,Negative,SPORTS
phone,106,Positive,TOOLS
think,8,Negative,SPORTS
better,8,Negative,SPORTS
shoot,8,Negative,SPORTS
seems,8,Negative,SPORTS
free,8,Negative,SPORTS
fixed,8,Negative,SPORTS
sometimes,8,Negative,SPORTS
worse,8,Negative,SPORTS
keep,8,Negative,SPORTS
advertisements,8,Negative,SPORTS
dont,8,Negative,SPORTS
awful,8,Negative,SPORTS
two,8,Negative,SPORTS
upgrade,8,Negative,SPORTS
horrible,8,Negative,SPORTS
bug,8,Negative,SPORTS
crossfit,8,Negative,SPORTS
garbage,8,Negative,SPORTS
stopped,8,Negative,SPORTS
iowa,8,Negative,SPORTS
work,21,Neutral,SPORTS
like,14,Neutral,SPORTS
every,13,Neutral,SPORTS
want,12,Neutral,SPORTS
time,11,Neutral,SPORTS
golf,11,Neutral,SPORTS
watch,10,Neutral,SPORTS
fix,10,Neutral,SPORTS
well,10,Neutral,SPORTS
updated,10,Neutral,SPORTS
keep,9,Neutral,SPORTS
says,9,Neutral,SPORTS
keeps,9,Neutral,SPORTS
phone,9,Neutral,SPORTS
update,8,Neutral,SPORTS
world,8,Neutral,SPORTS
would,8,Neutral,SPORTS
give,8,Neutral,SPORTS
need,8,Neutral,SPORTS
constantly,8,Neutral,SPORTS
players,8,Neutral,SPORTS
cup,7,Neutral,SPORTS
started,7,Neutral,SPORTS
stars,7,Neutral,SPORTS
always,7,Neutral,SPORTS
go,7,Neutral,SPORTS
ones,7,Neutral,SPORTS
draft,7,Neutral,SPORTS
working,7,Neutral,SPORTS
add,6,Neutral,SPORTS
scores,6,Neutral,SPORTS
football,6,Neutral,SPORTS
show,6,Neutral,SPORTS
something,6,Neutral,SPORTS
think,6,Neutral,SPORTS
pop,6,Neutral,SPORTS
sports,6,Neutral,SPORTS
gps,6,Neutral,SPORTS
play,5,Neutral,SPORTS
even,5,Neutral,SPORTS
takes,5,Neutral,SPORTS
everytime,5,Neutral,SPORTS
guys,5,Neutral,SPORTS
everything,5,Neutral,SPORTS
can't,5,Neutral,SPORTS
fifa,5,Neutral,SPORTS
news,5,Neutral,SPORTS
recently,5,Neutral,SPORTS
clip,5,Neutral,SPORTS
commercial,5,Neutral,SPORTS
believe,5,Neutral,SPORTS
business,5,Neutral,SPORTS
shuts,5,Neutral,SPORTS
used,5,Neutral,SPORTS
see,5,Neutral,SPORTS
option,5,Neutral,SPORTS
anything,5,Neutral,SPORTS
teams,5,Neutral,SPORTS
put,5,Neutral,SPORTS
table,5,Neutral,SPORTS
android,5,Neutral,SPORTS
open,5,Neutral,SPORTS
distance,5,Neutral,SPORTS
player,4,Neutral,SPORTS
notifications,4,Neutral,SPORTS
stopped,4,Neutral,SPORTS
anyone,4,Neutral,SPORTS
often,4,Neutral,SPORTS
times,4,Neutral,SPORTS
second,4,Neutral,SPORTS
could,4,Neutral,SPORTS
change,4,Neutral,SPORTS
dislike,4,Neutral,SPORTS
newest,4,Neutral,SPORTS
locks,4,Neutral,SPORTS
team,4,Neutral,SPORTS
using,4,Neutral,SPORTS
needs,4,Neutral,SPORTS
bug,4,Neutral,SPORTS
since,4,Neutral,SPORTS
cannot,4,Neutral,SPORTS
ever,4,Neutral,SPORTS
trades,4,Neutral,SPORTS
logs,4,Neutral,SPORTS
menus,4,Neutral,SPORTS
range,4,Neutral,SPORTS
finder,4,Neutral,SPORTS
club,4,Neutral,SPORTS
leagues,3,Neutral,SPORTS
sometimes,3,Neutral,SPORTS
help,3,Neutral,SPORTS
happened,3,Neutral,SPORTS
beat,3,Neutral,SPORTS
record,3,Neutral,SPORTS
got,3,Neutral,SPORTS
facebook,3,Neutral,SPORTS
connection,3,Neutral,SPORTS
forever,3,Neutral,SPORTS
cant,3,Neutral,SPORTS
log,3,Neutral,SPORTS
try,3,Neutral,SPORTS
rate,3,Neutral,SPORTS
back,3,Neutral,SPORTS
installed,3,Neutral,SPORTS
last,3,Neutral,SPORTS
notification,3,Neutral,SPORTS
